ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,-1.38,44.4,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.7,-0.78,17.7,-0.77,17.4,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.3,-0.62,13,-0.57,11.9,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.9,-0.06,5.1,-0.11,5.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,26.8,0.09,5.2,0.04,5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.6,-0.88,21.4,-0.81,18.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.7,-0.69,14.9,-0.73,16.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.5,-0.6,12.5,-0.59,12.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.3,-0.61,12.8,-0.61,12.9,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,0.23,6.1,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.2,-0.69,14.9,-0.66,14.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.9,-0.82,19.3,-0.74,16.5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.9,-0.8,18.6,-0.78,17.8,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.4,-1.41,46.3,-1.31,40.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.6,-0.63,13.3,-0.58,12.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.7,-0.75,16.7,-0.89,21.6,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.2,-1.07,29.4,-1,25.9,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.3,-0.35,7.5,-0.39,8.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,28.5,0.42,8.7,0.29,6.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.7,-0.8,18.3,-0.72,15.8,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.5,-0.42,8.6,-0.46,9.4,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.6,-0.03,5,-0.18,5.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,26.8,0.33,7.2,0.36,7.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,26.3,0.18,5.7,0.18,5.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.9,0.32,7.2,0.06,5.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.6,-0.93,23.2,-0.88,21.4,14.5
